# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'ibs_op//'
# Total weight : 2183859
# Sort order   : local_weight,mem,sym,dso
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Shared Object     
# ........  ............  ............  .......................................  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ..................
#
    86.09%       1880141  0             N/A                                      [.] CPUStressTest::cpuHashStressTest(int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         SysPulse_profiling
     0.49%             1  10651         I/O hit                                  [k] srso_alias_safe_ret                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.40%             1  8844          L2 hit                                   [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.40%             1  8687          I/O hit                                  [k] sched_clock_cpu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [kernel.kallsyms] 
     0.38%             1  8206          I/O hit                                  [k] native_apic_mem_eoi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.35%             1  7721          I/O hit                                  [k] sync_regs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [kernel.kallsyms] 
     0.32%             1  7062          I/O hit                                  [k] native_apic_mem_eoi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.31%             1  6877          I/O hit                                  [k] irqtime_account_irq                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.31%             1  6852          I/O hit                                  [k] hrtimer_interrupt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [kernel.kallsyms] 
     0.31%             1  6836          I/O hit                                  [k] native_apic_mem_eoi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.30%             1  6514          I/O hit                                  [k] sync_regs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [kernel.kallsyms] 
     0.29%             1  6417          I/O hit                                  [k] irqtime_account_irq                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.29%             1  6378          L2 hit                                   [k] lock_vma_under_rcu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [kernel.kallsyms] 
     0.29%             1  6356          I/O hit                                  [k] sched_clock_cpu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [kernel.kallsyms] 
     0.29%             1  6353          I/O hit                                  [k] srso_alias_safe_ret                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.29%             1  6263          I/O hit                                  [k] native_apic_mem_eoi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.29%             1  6251          I/O hit                                  [k] native_apic_mem_eoi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.28%             1  6199          I/O hit                                  [k] __sysvec_apic_timer_interrupt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [kernel.kallsyms] 
     0.28%             1  6039          L2 hit                                   [k] sync_regs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [kernel.kallsyms] 
